,Timestamp,Age,Gender,City,Position,YOE,Level,Salary,SOYA,Language
84,14/12/2018 14:29:00,30.0,Male,Berlin,iOS Developer,6.0,Senior,70000.0,55000.0,English
86,14/12/2018 14:29:35,34.0,Female,Berlin,Manager,5.0,Middle,55000.0,50000.0,English
88,14/12/2018 14:31:08,44.0,Male,München,Project Manager,14.0,Senior,73000.0,70000.0,Russian
89,14/12/2018 14:32:30,37.0,Male,Berlin,Senior/Lead Developer,15.0,Senior,85000.0,75000.0,English
93,14/12/2018 14:33:16,36.0,Male,Berlin,Mobile Lead,14.0,Senior,82000.0,72000.0,English
94,14/12/2018 14:33:48,34.0,Male,Berlin,Software Engineer,10.0,Senior,67000.0,65000.0,English
95,14/12/2018 14:35:19,31.0,Male,Berlin,Frontend developer,12.0,Senior,65000.0,60000.0,English
96,14/12/2018 14:35:19,25.0,Male,München,Software Developer,3.0,Middle,62000.0,20000.0,English
97,14/12/2018 14:35:22,28.0,Male,Berlin,Frontend Engineer,6.0,Senior,62000.0,58000.0,English
98,14/12/2018 14:36:04,38.0,Male,Berlin,Front-end developer,19.0,Senior,83000.0,57000.0,English
99,14/12/2018 14:36:57,32.0,Female,Berlin,Data Engineer,10.0,Senior,75000.0,68000.0,English
101,14/12/2018 14:37:59,37.0,Male,München,Head of Product ,8.0,Senior,100000.0,100000.0,English
103,14/12/2018 14:39:31,40.0,Male,Berlin,PHP Backend Developer,18.0,Senior,69000.0,65000.0,English
104,14/12/2018 14:39:33,24.0,Male,Berlin,Java Developer,3.0,Middle,50000.0,45000.0,English
105,14/12/2018 14:40:36,36.0,Male,Berlin,SW Developer,10.0,Middle,73000.0,58000.0,English
106,14/12/2018 14:42:07,35.0,Male,Berlin,Senior Engineer (PHP),15.0,Senior,120000.0,85000.0,English
107,14/12/2018 14:43:15,28.0,Male,Frankfurt,webdev,5.0,Senior,50000.0,41000.0,English
108,14/12/2018 14:43:19,32.0,Male,München,Web Developer ,3.0,Middle,58000.0,50000.0,Deutsch
110,14/12/2018 14:46:20,36.0,Female,München,QA ,3.0,Middle,30000.0,30000.0,English
113,14/12/2018 14:48:13,32.0,Male,München,Data Scientist,4.0,Senior,65000.0,60000.0,English
114,14/12/2018 14:48:46,31.0,Male,Berlin,Software Architect,12.0,Senior,78600.0,75000.0,English
115,14/12/2018 14:51:20,34.0,Male,Berlin,Principal Software Engineer,13.0,Senior,70000.0,84000.0,English
117,14/12/2018 14:56:28,32.0,Male,Berlin,Senior Javascript Engineer,6.0,Senior,78000.0,65000.0,English
118,14/12/2018 14:57:07,34.0,Male,Berlin,Engineering Manager,17.0,Senior,70000.0,70000.0,English
119,14/12/2018 14:58:17,32.0,Male,Luxembourg,SDE,8.0,Middle,89000.0,90000.0,English
122,14/12/2018 15:02:04,32.0,Male,Berlin,Android developer ,9.0,Senior,72000.0,68000.0,English
124,14/12/2018 15:04:23,27.0,Male,Berlin,Senior Software Engineer ,7.0,Senior,72000.0,65000.0,English
125,14/12/2018 15:05:01,30.0,Male,Berlin,Senior Backend Developer,7.0,Senior,65000.0,62000.0,English
126,14/12/2018 15:05:08,34.0,Male,Berlin,Agile coach,5.0,Senior,85000.0,70000.0,English
127,14/12/2018 15:08:12,30.0,Male,Berlin,QA,8.0,Senior,55000.0,50000.0,English
129,14/12/2018 15:09:01,28.0,Female,Berlin,Frontend Developer,4.0,Middle,56000.0,51000.0,English
130,14/12/2018 15:11:21,39.0,Male,Bern, .Net Developer,10.0,Senior,107000.0,56000.0,Deutsch
133,14/12/2018 15:12:19,30.0,Male,Berlin,Embedded Developer,6.0,Middle,60000.0,58000.0,English
134,14/12/2018 15:14:28,35.0,Male,Berlin,.NET developer,15.0,Senior,62000.0,54000.0,English
135,14/12/2018 15:18:07,37.0,Male,Berlin,Seniour software developer,14.0,Senior,78000.0,68000.0,English
137,14/12/2018 15:20:33,37.0,Male,Berlin,Full stack developer ,15.0,Senior,54000.0,54000.0,English
138,14/12/2018 15:21:25,27.0,Female,Berlin,IT Project Manager,4.0,Middle,46000.0,46000.0,Deutsch
139,14/12/2018 15:21:26,30.0,Male,Bonn,Business Analyst,7.0,Middle,64000.0,60000.0,English
140,14/12/2018 15:22:45,33.0,Male,Berlin,fullstack developer,10.0,Senior,65000.0,55000.0,English
141,14/12/2018 15:23:40,32.0,Male,Berlin,Frontent Developer,5.0,Middle,58000.0,23000.0,English
143,14/12/2018 15:27:36,30.0,Male,Frankfurt,Software Developer,8.0,Senior,95000.0,80000.0,English
147,14/12/2018 15:31:33,39.0,Male,Berlin,Scala developer,20.0,Senior,84000.0,82000.0,English
152,14/12/2018 15:44:57,39.0,Male,Berlin,DBA,17.0,Senior,87000.0,80000.0,English
154,14/12/2018 15:50:50,30.0,Female,Berlin,Computational Linguist,3.0,Middle,50400.0,43200.0,English
155,14/12/2018 15:54:33,26.0,Male,Berlin,Software Engineer,6.0,Senior,65000.0,52000.0,English
157,14/12/2018 15:56:16,27.0,Male,Berlin,Data Scientist,2.5,Senior,66000.0,13000.0,English
159,14/12/2018 15:58:16,42.0,Male,München,Java Developer,15.0,Middle,42000.0,42000.0,Deutsch
160,14/12/2018 16:11:51,31.0,Male,Berlin,Full stack engineer,11.0,Senior,65000.0,55000.0,English
161,14/12/2018 16:13:11,34.0,Male,Berlin,Software engineer,8.0,Middle,74000.0,72000.0,English
163,14/12/2018 16:15:58,30.0,Male,München,Software Engineer,8.0,Senior,72500.0,65000.0,English
164,14/12/2018 16:18:51,37.0,Male,Berlin,Database Administrator,7.0,Senior,53000.0,47000.0,Deutsch
166,14/12/2018 16:23:37,27.0,Male,Hamburg,Frontend Developer,11.0,Senior,60000.0,58000.0,English
167,14/12/2018 16:28:22,30.0,Male,Berlin,Software Engineer JavaSctipt,10.0,Senior,75000.0,56000.0,English
168,14/12/2018 16:34:10,33.0,Male,Berlin,PM,15.0,Senior,85000.0,75000.0,English
170,14/12/2018 16:37:06,35.0,Male,Berlin,Developer,9.0,Senior,60000.0,60000.0,English
171,14/12/2018 16:39:31,36.0,Male,Berlin,Head of Engineering,15.0,Senior,85000.0,75000.0,Deutsch
174,14/12/2018 17:00:26,35.0,Male,Köln,Angular,5.0,Middle,35000.0,35000.0,English
175,14/12/2018 17:01:05,29.0,Male,München,Senior Android Developer,8.0,Senior,75000.0,58000.0,English
176,14/12/2018 17:06:24,30.0,Female,Berlin,Full Stack Developer,4.0,Middle,58000.0,45000.0,English
177,14/12/2018 17:09:17,33.0,Male,Berlin,Software Developer,12.0,Senior,75000.0,65000.0,English
178,14/12/2018 17:09:32,30.0,Male,Baden-Württemberg ,Mobile developer,8.0,Senior,70000.0,55000.0,English
179,14/12/2018 17:11:47,30.0,Male,Berlin,PHP Developer,11.0,Senior,65000.0,65000.0,English
180,14/12/2018 17:13:28,31.0,Female,Berlin,Software Engineer,8.0,Senior,55800.0,52800.0,Deutsch
181,14/12/2018 17:28:55,26.0,Male,Berlin,Automation QA,4.0,Middle,55000.0,55000.0,English
183,14/12/2018 17:45:50,34.0,Male,Berlin,Android Developer,7.0,Senior,70000.0,56000.0,Deutsch
