,Timestamp,Age,Gender,City,Position,YOE,Level,Salary,SOYA,Language
392,16/12/2018 14:59:51,35.0,Male,Kyiv,Javascript Developer,10.0,Senior,43000.0,43000.0,Russian
394,16/12/2018 17:20:10,29.0,Male,Berlin,Senior Backend Developer,7.0,Senior,70000.0,70000.0,English
396,16/12/2018 18:16:01,31.0,Female,München,Business Intelligence Analyst,4.0,Middle,67000.0,67000.0,English
397,16/12/2018 18:18:30,28.0,Female,Berlin,Product manager,1.0,Middle,36000.0,20000.0,English
398,16/12/2018 18:58:21,25.0,Male,Berlin,Software Developer (Python Backend),3.0,Middle,75000.0,55000.0,English
399,16/12/2018 19:01:40,30.0,Male,Frankfurt,System administrator ,9.0,Middle,65000.0,18000.0,English
400,16/12/2018 19:14:58,37.0,Male,Berlin,Software Engineer ,6.0,Senior,63000.0,63000.0,English
402,16/12/2018 19:25:43,34.0,Male,Amsterdam,Designer,10.0,Senior,57000.0,56000.0,English
403,16/12/2018 19:53:03,30.0,Male,Frankfurt,Data Scientist,7.0,Senior,112000.0,105000.0,Deutsch
404,16/12/2018 20:13:37,27.0,Male,Berlin,Software Engineer,11.0,Senior,100000.0,80000.0,English
405,16/12/2018 20:20:45,30.0,Male,München,CTO ,5.0,Senior,72000.0,50000.0,English
406,16/12/2018 21:06:21,30.0,Female,Berlin,Lead Developer,11.0,Senior,78000.0,68000.0,English
407,16/12/2018 21:14:16,32.0,Female,München,java fullsteck developer,3.0,Junior,44000.0,42000.0,Deutsch
408,16/12/2018 21:28:14,31.0,Male,Nürnberg,Software Engineer,6.0,Middle,59000.0,50000.0,Deutsch
409,16/12/2018 21:48:16,38.0,Male,München,QA,10.0,Senior,66000.0,63000.0,Deutsch
411,16/12/2018 23:03:08,36.0,Male,Hamburg,Senior Software Developer,10.0,Senior,65000.0,65000.0,English
412,17/12/2018 00:02:54,31.0,Female,München,Java Developer,9.0,Middle,47000.0,45000.0,English
413,17/12/2018 00:07:22,33.0,Male,Amsterdam,Tech lead,9.0,Middle,60000.0,59000.0,English
417,17/12/2018 08:37:06,29.0,Male,München,DevOps,9.0,Senior,70000.0,60000.0,English
419,17/12/2018 10:07:20,43.0,Male,Berlin,Consultant,18.0,Senior,70000.0,70000.0,Deutsch
420,17/12/2018 10:45:22,30.0,Male,München,Test Engineer,10.0,Senior,80000.0,76000.0,Russian
422,17/12/2018 11:19:25,32.0,Male,Berlin,Developer,12.0,Senior,66000.0,64000.0,English
423,17/12/2018 11:22:40,42.0,Male,Karlskrona,Java Developer,15.0,Senior,67200.0,64000.0,English
425,17/12/2018 12:11:26,36.0,Male,Berlin,CTO,15.0,Senior,89000.0,79000.0,English
426,17/12/2018 13:17:43,31.0,Male,Berlin,Devops,6.0,Senior,72000.0,70000.0,English
427,17/12/2018 13:21:02,28.0,Male,München,DB Developer,5.0,Senior,69000.0,67000.0,English
428,17/12/2018 14:07:36,34.0,Male,Berlin,Senior Software Engineer,15.0,Senior,60000.0,20000.0,English
430,17/12/2018 14:11:08,43.0,Male,Berlin,SAP Consulter/ABAP Developer ,16.0,Senior,86000.0,84000.0,Deutsch
431,17/12/2018 14:23:30,29.0,Male,Krakau,DevOps Engineer,11.0,Senior,45000.0,39200.0,English
432,17/12/2018 14:25:20,27.0,Male,München,Java Developer,5.0,Senior,72000.0,60000.0,Russian
434,17/12/2018 14:57:03,28.0,Female,Vienna,C++ sr. s/w dev,6.0,Senior,75000.0,75000.0,English
436,17/12/2018 15:40:30,25.0,Male,Berlin,Android dev,6.0,Senior,60000.0,55000.0,English
438,17/12/2018 16:01:29,36.0,Male,Berlin,Senior Web Deleloper,8.0,Senior,55000.0,28000.0,English
439,17/12/2018 16:14:23,35.0,Male,London,Software developer,12.0,Senior,111000.0,95000.0,English
440,17/12/2018 16:16:50,28.0,Female,Stockholm,Automation Test Engineer,6.0,Middle,40800.0,36000.0,English
441,17/12/2018 16:18:13,48.0,Male,Bitburg,SSE,18.0,Senior,92100.0,89300.0,Deutsch
445,17/12/2018 16:46:55,30.0,Male,Berlin,Web Developer,8.0,Senior,75000.0,62000.0,English
446,17/12/2018 16:59:49,28.0,Male,Berlin,Senior .Net Developer,8.0,Senior,66000.0,55000.0,English
447,17/12/2018 17:08:52,31.0,Male,Berlin,Software Developer,9.0,Senior,70000.0,60000.0,English
449,17/12/2018 17:28:36,27.0,Male,Berlin,Front End Engineer,8.0,Senior,70000.0,65000.0,English
451,17/12/2018 18:24:15,30.0,Male,München,Full Stack Developer,9.0,Senior,75000.0,65000.0,English
453,17/12/2018 18:36:29,25.0,Male,Poland,QA Engineer,2.5,Middle,24000.0,16500.0,Polish
455,17/12/2018 19:02:21,33.0,Male,Prague,.NET Developer,10.0,Senior,39600.0,33600.0,English
456,17/12/2018 19:18:13,31.0,Male,München,DevOps,9.0,Middle,64400.0,58400.0,English
457,17/12/2018 20:23:15,33.0,Male,Düsseldorf,C++ Software Engineer,12.0,Senior,57000.0,57000.0,Russian
459,17/12/2018 20:49:55,31.0,Male,Luxembourg,Software Development Engineer,6.0,Middle,77000.0,77000.0,English
461,17/12/2018 21:53:50,34.0,Male,Berlin,Senior Software Engineer,12.0,Senior,67000.0,55000.0,English
462,17/12/2018 22:22:14,32.0,Male,Berlin,C# Developer ,5.0,Senior,55000.0,55000.0,English
463,17/12/2018 23:00:51,31.0,Male,Berlin,Senior Java Developer,9.0,Senior,85000.0,64000.0,English
464,17/12/2018 23:02:20,33.0,Male,Stuttgart,Python Developer,8.0,Senior,57800.0,54000.0,English
465,17/12/2018 23:16:24,26.0,Male,Berlin,Android developer,4.0,Middle,20400.0,20400.0,English
466,17/12/2018 23:36:53,30.0,Male,Krakow,Project Manager,7.0,Senior,44000.0,40000.0,Russian
467,18/12/2018 00:05:45,33.0,Female,London,Product Manager,10.0,Senior,70000.0,56000.0,English
470,18/12/2018 02:42:05,26.0,Female,München,Software developer,4.0,Middle,47300.0,41000.0,English
471,18/12/2018 06:50:08,45.0,Male,Berlin,java developer,8.0,Middle,53000.0,48000.0,Deutsch
473,18/12/2018 09:10:10,36.0,Male,Ludwigsburg,System Architect,10.0,Senior,100000.0,97000.0,Deutsch
474,18/12/2018 09:36:30,35.0,Male,München,Head of Development,11.0,Senior,100000.0,90000.0,Deutsch
475,18/12/2018 09:44:01,38.0,Male,München,PHP Full Stack Developer,15.0,Senior,60000.0,51000.0,English
477,18/12/2018 10:06:00,38.0,Male,Berlin,Senior Java Developer,15.0,Senior,60000.0,60000.0,English
478,18/12/2018 10:10:49,35.0,Male,Berlin,CTO,13.0,Senior,60000.0,54000.0,English
481,18/12/2018 10:40:46,30.0,Male,Hamburg,QA Engineer,5.0,Middle,56000.0,50000.0,English
482,18/12/2018 11:14:53,32.0,Male,Berlin,BI Developer,7.0,Senior,55000.0,50000.0,English
483,18/12/2018 11:16:23,45.0,Male,Essen,Senior quant,20.0,Senior,80000.0,75000.0,English
485,18/12/2018 11:20:41,37.0,Male,Berlin,Senior Software Engineer,15.0,Senior,86000.0,77000.0,English
486,18/12/2018 11:25:57,21.0,Female,Strasbourg,Data Developer,2.0,Junior,17532.0,11520.0,French
488,18/12/2018 11:49:24,32.0,Male,München,Senior Software Engineer,10.0,Senior,69000.0,65000.0,English
489,18/12/2018 11:49:42,32.0,Male,München,Senior Software Engineer,10.0,Senior,69000.0,65000.0,English
490,18/12/2018 11:50:35,38.0,Male,Berlin,Data Scientist,5.0,Senior,60000.0,60000.0,English
491,18/12/2018 12:00:16,27.0,Male,Warsaw,Data Processing Specialist,2.0,Middle,19200.0,14400.0,Polish
493,18/12/2018 12:49:44,27.0,Male,München,Frontend,7.0,Senior,75000.0,58000.0,English
496,18/12/2018 13:03:59,33.0,Male,Berlin,Software Developer,5.0,Middle,51750.0,45000.0,Deutsch
498,18/12/2018 13:27:34,36.0,Male,Amsterdam,Senior Automation Test Engineer,13.0,Senior,80000.0,80000.0,English
499,18/12/2018 13:50:03,30.0,Female,München,QA,5.0,Middle,58000.0,56000.0,English
500,18/12/2018 13:50:32,31.0,Male,Berlin,Engineering Manager,12.0,Junior,108000.0,110000.0,English
501,18/12/2018 13:53:39,37.0,Male,München,Operations,15.0,Middle,72000.0,65000.0,English
503,18/12/2018 14:16:32,31.0,Male,Berlin,Golang developer,8.0,Senior,65000.0,65000.0,English
504,18/12/2018 14:21:49,30.0,Male,Berlin,Software Engineer,8.0,Senior,70000.0,66000.0,English
505,18/12/2018 14:23:48,31.0,Female,München,QA,6.0,Middle,51000.0,50000.0,English
506,18/12/2018 14:28:00,24.0,Female,München,Softwaredeveloper,4.0,Middle,57000.0,43000.0,English
507,18/12/2018 14:28:27,36.0,Male,Berlin,Senior Software Developer,15.0,Senior,75000.0,69000.0,English
508,18/12/2018 14:55:05,40.0,Male,München,Front End developer,12.0,Senior,69600.0,65000.0,English
509,18/12/2018 15:21:18,33.0,Male,Köln,Team Lead,10.0,Senior,85000.0,80000.0,Deutsch
512,18/12/2018 15:36:09,37.0,Male,Stuttgart,DevOps (MS Stack),6.0,Senior,58500.0,12000.0,Deutsch
513,18/12/2018 15:48:51,32.0,Male,Berlin,Head of Data Science,9.0,Senior,130000.0,115000.0,English
514,18/12/2018 16:15:47,32.0,Male,Frankfurt,DevOps Architect,10.0,Senior,80000.0,52000.0,English
515,18/12/2018 16:28:33,30.0,Male,Berlin,Sr. Engineer,12.0,Senior,65000.0,58000.0,English
516,18/12/2018 16:36:17,42.0,Male,Berlin,qa ta architect,15.0,Senior,68000.0,62000.0,English
517,18/12/2018 17:15:11,32.0,Male,Dublin,.NET Developer,10.0,Senior,96000.0,93000.0,English
519,18/12/2018 17:43:31,35.0,Male,Hamburg,Senior PHP Developer,15.0,Senior,60000.0,63000.0,Deutsch
520,18/12/2018 18:58:10,29.0,Male,München,Head of Software Engineering ,11.0,Senior,120000.0,85000.0,English
521,18/12/2018 19:09:28,27.0,Female,München,QA Engineer,6.0,Middle,70000.0,65000.0,English
524,18/12/2018 20:17:49,30.0,Female,Berlin,Quality Engineer,9.0,Middle,55000.0,43000.0,English
525,18/12/2018 20:31:26,30.0,Male,München,Java dev,6.0,Senior,70000.0,56000.0,English
530,18/12/2018 21:43:22,31.0,Male,München,PHP Tech Lead,7.0,Senior,68000.0,65000.0,English
531,18/12/2018 21:53:24,33.0,Male,München,.NET Developer,4.0,Middle,65000.0,50000.0,Deutsch
535,18/12/2018 22:23:02,33.0,Male,Berlin,C++ Software Developer,12.0,Senior,87000.0,77000.0,English
536,18/12/2018 22:30:11,32.0,Male,München,Java Team Lead,12.0,Senior,85000.0,80000.0,English
537,18/12/2018 22:40:10,35.0,Female,München,Quality assurance,3.0,Junior,39000.0,38000.0,English
539,19/12/2018 00:39:49,28.0,Male,Berlin,Data Scientist,6.0,Senior,65000.0,55000.0,English
540,19/12/2018 09:46:25,35.0,Male,München,Senior Software Developer,13.0,Senior,65000.0,65000.0,Deutsch
541,19/12/2018 10:19:56,34.0,Male,Berlin,Software Developer,15.0,Senior,69000.0,60000.0,English
542,19/12/2018 10:27:08,31.0,Male,Berlin,Fullstack Engineer,8.0,Senior,77000.0,72000.0,English
543,19/12/2018 10:33:03,32.0,Male,Berlin,Software engineer,7.0,Senior,73000.0,68000.0,Deutsch
544,19/12/2018 10:34:21,32.0,Male,Berlin,Senior automation qa,10.0,Senior,65000.0,80000.0,English
545,19/12/2018 10:35:53,30.0,Male,München,Android developer,5.0,Senior,60000.0,60000.0,English
548,19/12/2018 11:29:18,50.0,Male,Köln,Senior Consulter,20.0,Senior,72000.0,72000.0,Deutsch
549,19/12/2018 12:23:56,29.0,Male,München,Senior Java Developer,6.0,Senior,75000.0,70000.0,English
550,19/12/2018 12:28:51,31.0,Male,Frankfurt,devops,5.0,Middle,55000.0,55000.0,English
551,19/12/2018 12:35:39,29.0,Male,Berlin,Team Lead,7.0,Senior,70000.0,65000.0,English
553,19/12/2018 12:37:33,31.0,Male,Frankfurt,Cloud Architect,10.0,Senior,75000.0,65000.0,English
554,19/12/2018 12:53:51,34.0,Male,München,CTO,12.0,Senior,70000.0,95000.0,Deutsch/Englisch
555,19/12/2018 13:13:37,31.0,Male,Berlin,C++ Developer,4.0,Senior,65000.0,45000.0,English
556,19/12/2018 13:40:18,47.0,Male,München,SharePoint Developer,11.0,Senior,66000.0,66000.0,Deutsch
558,19/12/2018 14:00:34,43.0,Male,München,DWH expert,10.0,Senior,88000.0,85000.0,English
559,19/12/2018 14:03:52,33.0,Male,München,Senior Full stack developer,7.0,Senior,70000.0,70000.0,English
560,19/12/2018 14:17:38,32.0,Male,Hildesheim,C++ developer,12.0,Senior,60000.0,60000.0,English
562,19/12/2018 15:30:31,47.0,Male,Berlin,Java Developer,10.0,Senior,64500.0,64000.0,Deutsch
563,19/12/2018 15:39:37,31.0,Male,Berlin,Senior Data Scientist,7.0,Senior,96000.0,85000.0,English
565,19/12/2018 15:50:09,40.0,Male,Dublin,Senior Embedded Developer,20.0,Senior,80000.0,72000.0,English
566,19/12/2018 15:55:31,33.0,Male,Berlin,Computer Vision Engineer,10.0,Senior,122000.0,110000.0,English
567,19/12/2018 16:02:32,46.0,Male,London,Data Engineer,21.0,Middle,90000.0,90000.0,English
568,19/12/2018 16:19:01,27.0,Male,München,Software Engineer,2.0,Junior,55000.0,55000.0,English
569,19/12/2018 16:36:52,43.0,Male,Frankfurt,C#.net Developer,18.0,Senior,60000.0,60000.0,English
572,19/12/2018 17:21:50,38.0,Male,Berlin,Team Lead,15.0,Senior,75000.0,65000.0,English
574,19/12/2018 17:45:39,31.0,Male,Berlin,iOS Developer,4.0,Middle,60000.0,52600.0,English
575,19/12/2018 17:49:22,32.0,Male,Frankfurt,It security ,15.0,Senior,165000.0,130000.0,English
576,19/12/2018 18:18:05,34.0,Male,München,Deep Learning Engineer,9.0,Senior,138000.0,124000.0,English
577,19/12/2018 19:41:22,42.0,Male,München,Application Engineer ,19.0,Senior,110000.0,105000.0,English
580,19/12/2018 21:08:48,26.0,Male,Köln,Software Engineer (java),1.5,Junior,46000.0,44000.0,Deutsch
581,19/12/2018 21:21:28,27.0,Male,Berlin,Senior Software Engineer,5.0,Senior,73000.0,69000.0,English
585,19/12/2018 22:53:11,26.0,Male,Köln,PHP Symfony,6.0,Senior,60000.0,50000.0,English
586,20/12/2018 00:38:28,32.0,Male,Stuttgart,C#,7.0,Middle,74000.0,55000.0,Deutsch
587,20/12/2018 07:51:44,26.0,Male,"Krakow, Poland",Senior Software Engineer,4.5,Senior,39150.0,33550.0,English
588,20/12/2018 08:13:59,25.0,Male,München,Java Full-Stack Developer,2.0,Junior,60000.0,10800.0,English
589,20/12/2018 08:15:29,33.0,Male,Rosenheim,IT Infrastructure consultant,15.0,Senior,48000.0,48000.0,Deutsch
590,20/12/2018 08:20:25,29.0,Male,Berlin,iOS Developer ,8.0,Senior,60000.0,60000.0,English
591,20/12/2018 09:05:47,30.0,Male,Hamburg,1С,5.0,Middle,24000.0,24000.0,Russian
594,20/12/2018 10:05:48,30.0,Male,Hamburg,Hardware Developer,4.0,Middle,40800.0,38000.0,Deutsch
595,20/12/2018 10:22:10,30.0,Female,München,Software Tester,5.0,Middle,50000.0,46000.0,Deutsch
596,20/12/2018 10:46:50,36.0,Male,München,Web-Entwickler,5.0,Middle,53000.0,51000.0,English
597,20/12/2018 11:01:51,40.0,Male,München,Architekt,18.0,Senior,89000.0,80000.0,Deutsch
598,20/12/2018 11:30:15,26.0,Male,Berlin,PHP Developer,8.0,Middle,50000.0,45000.0,English
599,20/12/2018 12:06:50,29.0,Male,Berlin,QA,8.0,Senior,67500.0,67500.0,English
600,20/12/2018 12:25:26,28.0,Female,Frankfurt,Test Automation Engineer,3.0,Middle,50000.0,43000.0,Deutsch
604,20/12/2018 14:35:37,29.0,Male,München,Senior Java Developer,8.0,Senior,80000.0,100000.0,English
605,20/12/2018 16:07:33,52.0,Male,bremen,Sysadmin,5.0,Middle,33600.0,33600.0,Deutsch
606,20/12/2018 16:54:51,34.0,Male,München,Research Scientist (AI),8.0,Senior,132000.0,125000.0,English
607,20/12/2018 17:40:43,39.0,Male,Hamburg,Software Engineer,5.0,Middle,87500.0,84500.0,English
608,20/12/2018 18:53:02,30.0,Male,Stockholm,Java Developer,12.0,Senior,65000.0,63000.0,English
609,20/12/2018 19:23:53,38.0,Male,Berlin,Senior Research Engineer,14.0,Senior,128000.0,119000.0,English
610,20/12/2018 19:25:07,26.0,Male,München,Frontend Developer,3.0,Junior,37000.0,37000.0,Deutsch
611,20/12/2018 22:38:36,33.0,Female,München,Sr project manager,11.0,Senior,120000.0,85000.0,English
614,21/12/2018 03:36:12,35.0,Male,Berlin,Scala Developer,10.0,Senior,78000.0,70000.0,English
616,21/12/2018 10:42:50,31.0,Male,Luxembourg,Network engineer,8.0,Middle,72000.0,70000.0,English
617,21/12/2018 11:59:26,37.0,Male,Stuttgart,PHP developer,6.0,Senior,57000.0,51000.0,English
618,21/12/2018 14:10:43,30.0,Male,München,iOS Developer,7.0,Senior,68000.0,68000.0,English
619,21/12/2018 14:23:17,26.0,Male,München,Java Developer,5.0,Middle,58000.0,58000.0,English
620,21/12/2018 14:36:29,32.0,Male,München,backend developer,10.0,Senior,65000.0,65000.0,English
621,21/12/2018 14:56:31,30.0,Male,München,data scientist,5.0,Middle,60000.0,59000.0,English
622,21/12/2018 15:21:40,31.0,Male,Berlin,Security Researcher,5.0,Senior,90000.0,85000.0,English
623,21/12/2018 15:29:51,32.0,Female,Dublin,Software engineer,6.0,Middle,90000.0,40000.0,English
624,21/12/2018 17:23:57,28.0,Male,Berlin,team lead,5.0,Senior,77000.0,65000.0,English
625,21/12/2018 19:20:15,33.0,Male,Nürnberg ,Java Developer ,6.0,Senior,90000.0,65000.0,Deutsch
626,21/12/2018 19:20:59,33.0,Male,Nürnberg ,Java Developer ,6.0,Senior,90000.0,65000.0,Deutsch
627,21/12/2018 20:52:25,27.0,Male,Berlin,Senior javascript developer,7.0,Senior,57500.0,55000.0,English
628,21/12/2018 21:01:44,43.0,Male,Schleswig-Holstein,Senior .NET Engineer,16.0,Senior,103000.0,93000.0,Deutsch
630,21/12/2018 22:53:31,30.0,Male,Köln,Software developer,5.0,Senior,70000.0,65000.0,English
631,21/12/2018 23:49:39,32.0,Male,Berlin,Data Science Team Lead,8.0,Senior,125000.0,106000.0,English
632,22/12/2018 10:39:18,35.0,Male,Berlin,PHP Developer,8.0,Senior,57000.0,54000.0,English
633,22/12/2018 11:03:16,26.0,Female,Berlin,Data Scientist,1.0,Junior,56000.0,48000.0,English
634,22/12/2018 11:10:31,33.0,Male,Stuttgart,Product Security Engineer,12.0,Senior,78000.0,55000.0,Deutsch
635,22/12/2018 11:39:33,33.0,Male,Berlin,Php developer,12.0,Senior,66000.0,60000.0,English
636,22/12/2018 12:32:20,38.0,Male,München,Devops,15.0,Senior,67000.0,62000.0,English
637,22/12/2018 13:35:53,31.0,Male,Berlin,Java Developer,9.0,Middle,70000.0,67000.0,English
638,22/12/2018 13:49:00,37.0,Male,Berlin,Javascript Engineer,8.0,Senior,75000.0,60000.0,English
639,22/12/2018 14:29:51,27.0,Male,Berlin,DevOps,10.0,Senior,60000.0,80000.0,English
642,22/12/2018 17:25:53,33.0,Female,Berlin,NAV Developer ,10.0,Middle,55000.0,55000.0,English
643,22/12/2018 18:56:42,37.0,Male,München,C++  developer,15.0,Senior,80000.0,77000.0,English
645,22/12/2018 20:10:58,33.0,Male,München,Javascript Developer,10.0,Senior,72000.0,69000.0,Deutsch
646,22/12/2018 20:38:00,30.0,Male,München,Senior iOS developer,10.0,Senior,70000.0,70000.0,English
647,22/12/2018 21:42:28,34.0,Male,Berlin,Machine Learning Engineer,9.0,Senior,120000.0,105000.0,English
650,23/12/2018 10:00:57,31.0,Male,München,DevOps,11.0,Senior,80000.0,65000.0,English
651,23/12/2018 11:39:45,31.0,Male,München,Lead DevOps,8.0,Senior,65000.0,60000.0,English
652,23/12/2018 12:54:37,33.0,Male,Frankfurt,Lead Java Developer,11.0,Senior,72000.0,72000.0,English
653,23/12/2018 15:08:36,32.0,Male,Berlin,Software Engineer,9.0,Senior,83000.0,70000.0,English
654,23/12/2018 15:16:21,27.0,Male,Berlin,Java Developer,6.0,Middle,60000.0,67000.0,English
657,23/12/2018 15:33:22,34.0,Male,Berlin,QA Lead,10.0,Senior,65000.0,60000.0,English
658,23/12/2018 16:23:52,34.0,Male,Hamburg,Software Developer ,10.0,Senior,68000.0,62000.0,English
659,23/12/2018 16:37:28,35.0,Male,München,Backend Engineer,12.0,Senior,70000.0,64000.0,English
660,23/12/2018 17:51:44,34.0,Male,München,Senior Software Testing Engineer,11.0,Senior,72000.0,68000.0,English
661,23/12/2018 18:59:15,33.0,Male,homeoffice,DevOps,15.0,Senior,65000.0,65000.0,Deutsch
662,23/12/2018 19:15:03,26.0,Male,Berlin,Full-stack developer,5.0,Senior,65000.0,54000.0,English
663,24/12/2018 08:47:03,30.0,Male,Vienna,Software developer,7.0,Middle,42000.0,44800.0,English
664,24/12/2018 10:39:45,29.0,Female,Berlin,qa,5.0,Middle,40000.0,40000.0,English
666,24/12/2018 11:20:58,28.0,Male,Berlin,iOS Developer ,6.0,Middle,48000.0,48000.0,English
669,25/12/2018 09:57:07,33.0,Female,Berlin,Java Developer,4.0,Middle,55000.0,54000.0,English
670,25/12/2018 12:45:52,30.0,Male,Berlin,Full stack,10.0,Senior,75000.0,70000.0,English
671,25/12/2018 12:51:46,29.0,Male,Berlin,SDET,3.0,Middle,58000.0,57000.0,Deutsch
672,25/12/2018 13:02:57,32.0,Male,Berlin,Senior Sotfware Engineer (Typescript/Javascript),9.0,Senior,65000.0,60000.0,English
674,25/12/2018 21:42:08,28.0,Male,München,Software Tester,7.0,Senior,60000.0,56000.0,English
675,25/12/2018 21:42:19,28.0,Male,München,Software Tester,7.0,Senior,60000.0,56000.0,English
677,26/12/2018 09:25:19,33.0,Male,Limassol,PHP Developer,12.0,Senior,39600.0,36000.0,Russian
679,26/12/2018 14:16:31,37.0,Male,Berlin,Software engineer,15.0,Senior,65000.0,55000.0,English
680,26/12/2018 14:37:31,30.0,Male,saint petersburg,c++,10.0,Senior,15000.0,14000.0,Russian
681,26/12/2018 16:04:40,30.0,Male,München,Business Analyst,7.0,Senior,120000.0,110000.0,English
684,27/12/2018 09:30:49,28.0,Male,Köln,.net developer,3.0,Middle,45000.0,40000.0,Deutsch
685,27/12/2018 12:34:03,37.0,Male,Erlangen,Projectingenieur,7.0,Senior,85000.0,78000.0,Deutsch
688,28/12/2018 00:00:48,30.0,Male,Berlin,Full Stack Developer,10.0,Middle,47000.0,47000.0,English
691,29/12/2018 00:06:13,29.0,Male,München,.net developer,8.0,Senior,77000.0,55000.0,English
693,29/12/2018 17:04:41,36.0,Female,München, Java Developer,7.0,Senior,80000.0,75000.0,English
694,29/12/2018 17:45:46,37.0,Male,Berlin,Teamlead,17.0,Senior,95000.0,85000.0,English
695,29/12/2018 20:02:46,29.0,Male,Berlin,Senior Frontend Developer,9.0,Senior,60000.0,55000.0,English
698,30/12/2018 10:34:03,32.0,Male,Berlin,Director of Engineering,10.0,Senior,115000.0,95000.0,English
699,30/12/2018 18:53:11,32.0,Male,München,Solutions architect,11.0,Senior,75000.0,65000.0,English
700,30/12/2018 22:14:57,30.0,Male,Bonn,Software Developer,7.0,Senior,62500.0,55000.0,English
701,30/12/2018 22:21:56,38.0,Male,Siegen,PCB Designer,15.0,Middle,64000.0,58000.0,Russian
702,31/12/2018 07:45:22,42.0,Male,München,IT специалист,18.0,Senior,127000.0,123000.0,Deutsch
703,31/12/2018 10:58:13,27.0,Male,München,Software Developer,6.0,Middle,65000.0,65000.0,Deutsch
704,31/12/2018 16:29:27,42.0,Male,Berlin,Ruby Developer,20.0,Senior,93000.0,65000.0,English
706,31/12/2018 21:41:26,26.0,Male,Berlin,QA,7.0,Middle,33000.0,30000.0,English
707,01/01/2019 10:19:48,33.0,Male,Remote Germany,Engineering Manager,0.0,Senior,83200.0,80000.0,English
710,02/01/2019 10:42:28,31.0,Female,Berlin,QA,9.0,Senior,42000.0,42000.0,English
711,02/01/2019 10:43:31,44.0,Male,Berlin,C# Developer,20.0,Senior,65000.0,60000.0,Deutsch
713,02/01/2019 22:32:08,27.0,Female,Frankfurt,Associate IT Consultant,0.0,Junior,50000.0,10001.0,English
714,03/01/2019 14:01:31,30.0,Male,Berlin,Principal Software Engineer,10.0,Senior,75000.0,72000.0,English
717,06/01/2019 15:20:04,26.0,Male,Berlin,Java Script developer,5.0,Senior,62500.0,60000.0,English
718,07/01/2019 13:59:53,34.0,Male,Frankfurt,BI Consultant,11.0,Senior,65000.0,55000.0,Deutsch
720,09/01/2019 10:31:26,35.0,Male,Berlin,Backend Developer,12.0,Senior,70000.0,65000.0,English
724,20/01/2019 14:36:15,34.0,Male,Berlin,Devops Engineer,3.0,Middle,52000.0,47000.0,English
726,04/02/2019 14:31:56,33.0,Male,Berlin,Producer,7.0,Senior,69000.0,67000.0,English
727,05/02/2019 12:48:23,30.0,Female,Berlin,Project Manager,11.0,Senior,65000.0,55000.0,English
728,05/02/2019 19:08:50,38.0,Male,Berlin,PHP Developer,18.0,Senior,68000.0,65000.0,English
729,10/02/2019 18:42:52,31.0,Male,München,Android Developer,6.0,Middle,65000.0,63000.0,English
731,27/02/2019 21:40:21,32.0,Male,Berlin,Senior QA Engineer,9.0,Senior,71500.0,68000.0,English
734,26/03/2019 22:17:53,40.0,Male,München,Senior PHP developer,12.0,Senior,50000.0,50000.0,English
744,03/08/2019 13:35:09,37.0,Male,Köln,Software Tester,5.0,Middle,53000.0,53000.0,Deutsch
745,09/08/2019 11:53:32,51.0,Male,Oberhausen,Sr. Database Entwickler (Oracle/Java),25.0,Senior,78000.0,76500.0,Deutsch
749,27/10/2019 09:25:28,25.0,Male,München,Developer,4.0,Middle,60000.0,55000.0,English
752,26/12/2019 17:09:25,33.0,Male,Nürnberg ,Project Manager ,11.0,Senior,75000.0,70000.0,English
754,06/01/2020 13:38:05,30.0,Male,München,Softwareentwickler,10.0,Middle,75000.0,50000.0,Deutsch
755,05/03/2020 16:50:43,52.0,Male,Köln,IT Engineer,30.0,Middle,63000.0,80000.0,English
759,03/06/2020 20:12:51,40.0,Male,Köln,Java Developer junior,1.0,Junior,44000.0,40000.0,Deutsch
764,02/12/2019 11:18:26,33.0,Male,Berlin,Fullstack Developer,13,Senior,64000.0,58000.0,English
765,02/12/2019 11:18:35,29.0,Male,Berlin,Backend Developer,3,Middle,55000.0,55000.0,English
768,02/12/2019 11:19:37,32.0,Male,Berlin,Embedded Developer,10,Senior,66000.0,56000.0,English
769,02/12/2019 11:20:30,33.0,Male,Berlin,Machine Learning Engineer,11,Middle,80000.0,75000.0,English
770,02/12/2019 11:21:26,34.0,Male,Berlin,Backend Developer,12,Senior,85000.0,76000.0,English
771,02/12/2019 11:21:31,38.0,Male,Berlin,Manager,15,Head,81000.0,75000.0,Deutsch
773,02/12/2019 11:21:52,29.0,Male,Berlin,Mobile Developer,7,Senior,65000.0,54000.0,English
774,02/12/2019 11:21:55,27.0,Male,Berlin,Fullstack Developer,7,Middle,63000.0,60000.0,English
776,02/12/2019 11:22:43,23.0,Male,Berlin,DevOps,6,Senior,83000.0,63000.0,English
777,02/12/2019 11:23:23,27.0,Male,Berlin,"Designer (UI, UX)",9,Senior,66000.0,52000.0,English
778,02/12/2019 11:23:31,33.0,Male,Berlin,Frontend Developer,10,Senior,70000.0,68000.0,English
780,02/12/2019 11:24:53,31.0,Male,Berlin,Mobile Developer,6,Middle,72000.0,70000.0,English
782,02/12/2019 11:25:24,33.0,Male,Berlin,DevOps,12,Senior,90000.0,84000.0,English
